part_id,part_name,category,current_stock,forecasted_weekly_demand,lead_time_days,safety_stock,reorder_point,recommended_order_quantity,recommendation
P001,Battery Module A,Battery System,30,9,21,8,35,5,Needs immediate replenishment
P002,Battery Cooling Plate,Battery System,0,20,14,12,52,52,Needs immediate replenishment
P003,Battery Management Sensor,Battery System,21,6,14,6,18,0,Adequate - no action needed
P004,Charging Port Assembly,Charging System,15,22,21,17,83,68,Needs immediate replenishment
P005,AC Charging Cable,Cables and Connectors,60,24,7,11,35,0,Adequate - no action needed
P006,DC Fast-Charge Connector,Charging System,0,13,14,9,35,35,Needs immediate replenishment
P007,Brake Wear Sensor,Brake System,14,14,7,7,21,7,Needs immediate replenishment
P008,Regenerative Brake Control Unit,Brake System,45,10,21,18,48,3,Needs immediate replenishment
P009,Coolant Pump,Thermal Management,10,16,14,12,44,34,Needs immediate replenishment
P010,Heat Exchanger,Thermal Management,50,6,21,11,29,0,Expensive low-demand part - do not overstock
P011,Cabin PTC Heater,Thermal Management,1,16,14,15,47,46,Needs immediate replenishment
P012,Inverter Module,Power Electronics,20,2,28,8,16,0,High stockout risk
P013,Power Converter,Power Electronics,13,4,21,5,17,4,Needs immediate replenishment
P014,Onboard Charger Unit,Power Electronics,3,8,28,9,41,38,Needs immediate replenishment
P015,Electric Motor Bearing Kit,Electric Motor,18,7,14,7,21,3,Needs immediate replenishment
P016,Motor Rotor Position Sensor,Sensors,0,37,14,22,96,96,Needs immediate replenishment
P017,Wheel Speed Sensor,Sensors,49,22,7,10,32,0,Adequate - no action needed
P018,High-Voltage Cable Harness,Cables and Connectors,19,36,21,24,132,113,Needs immediate replenishment
P019,Low-Voltage Connector Set,Cables and Connectors,48,26,7,10,36,0,Adequate - no action needed
P020,Vehicle Control Unit,Control Units,19,2,28,6,14,0,Expensive low-demand part - do not overstock
P021,Thermal Expansion Valve,Thermal Management,34,18,7,10,28,0,Adequate - no action needed
P022,Battery Seal Kit,Battery System,16,17,7,8,25,9,Needs immediate replenishment
P023,Charge Door Actuator,Charging System,9,9,7,10,19,10,Needs immediate replenishment
P024,Auxiliary Cooling Fan,Thermal Management,27,8,14,8,24,0,Adequate - no action needed
